time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-23 00:00:00+00:00,3,2,9,5
2023-06-24 00:00:00+00:00,4,3,1,1
2023-06-25 00:00:00+00:00,4,3,36,9
2023-06-26 00:00:00+00:00,6,5,27,11
2023-06-27 00:00:00+00:00,3,3,16,7
2023-06-28 00:00:00+00:00,4,3,30,8
2023-06-29 00:00:00+00:00,5,4,32,14
2023-06-30 00:00:00+00:00,4,3,13,6
2023-07-01 00:00:00+00:00,4,3,6,1
2023-07-02 00:00:00+00:00,4,3,16,6
2023-07-03 00:00:00+00:00,4,3,25,8
2023-07-04 00:00:00+00:00,5,4,13,9
2023-07-05 00:00:00+00:00,3,2,13,8
2023-07-06 00:00:00+00:00,4,3,17,9
2023-07-07 00:00:00+00:00,5,4,25,9
2023-07-08 00:00:00+00:00,4,3,20,8
2023-07-09 00:00:00+00:00,6,5,47,4
2023-07-10 00:00:00+00:00,5,4,101,16
2023-07-11 00:00:00+00:00,16,12,99,10
2023-07-12 00:00:00+00:00,5,4,25,9
2023-07-13 00:00:00+00:00,3,2,75,22
2023-07-14 00:00:00+00:00,4,3,44,11
2023-07-15 00:00:00+00:00,5,4,7,4
2023-07-16 00:00:00+00:00,4,3,1,1
2023-07-17 00:00:00+00:00,5,4,33,8
2023-07-18 00:00:00+00:00,4,3,24,9
2023-07-19 00:00:00+00:00,3,2,56,13
2023-07-20 00:00:00+00:00,4,3,20,13
2023-07-21 00:00:00+00:00,5,4,66,10
2023-07-22 00:00:00+00:00,7,5,0,0
2023-07-23 00:00:00+00:00,4,3,0,0
2023-07-24 00:00:00+00:00,4,3,49,12
2023-07-25 00:00:00+00:00,4,3,13,7
2023-07-26 00:00:00+00:00,4,3,16,5
2023-07-27 00:00:00+00:00,5,4,20,11
2023-07-28 00:00:00+00:00,5,3,7,5
2023-07-29 00:00:00+00:00,4,3,6,4
2023-07-30 00:00:00+00:00,8,7,5,3
2023-07-31 00:00:00+00:00,5,3,19,5
2023-08-01 00:00:00+00:00,5,4,39,10
2023-08-02 00:00:00+00:00,6,5,27,8
2023-08-03 00:00:00+00:00,4,3,73,9
2023-08-04 00:00:00+00:00,4,3,12,5
2023-08-05 00:00:00+00:00,5,4,132,4
2023-08-06 00:00:00+00:00,7,6,57,7
2023-08-07 00:00:00+00:00,4,3,52,12
2023-08-08 00:00:00+00:00,4,3,73,11
2023-08-09 00:00:00+00:00,7,6,8,5
2023-08-10 00:00:00+00:00,4,3,31,12
2023-08-11 00:00:00+00:00,1,1,63,7
